Date,Close
2024-01-01,101.25
2024-01-02,102.10
2024-01-03,100.85
2024-01-04,103.40
2024-01-05,104.20
2024-01-06,105.10
2024-01-07,104.95
2024-01-08,106.35
2024-01-09,107.25
2024-01-10,108.60
2024-01-11,109.30
2024-01-12,110.50
2024-01-13,111.10
2024-01-14,112.25
2024-01-15,113.40
2024-01-16,111.90
2024-01-17,112.35
2024-01-18,113.80
2024-01-19,115.20
2024-01-20,116.10
2024-01-21,115.75
2024-01-22,117.50
2024-01-23,118.40
2024-01-24,119.20
2024-01-25,120.35
2024-01-26,121.10
2024-01-27,121.95
2024-01-28,123.50
2024-01-29,124.25
2024-01-30,125.60
